all S M0, all M0 P, all S P
some-not M0 S, some P M0, some-not S P
some-not M0 S, some P M0, no S P
some-not M0 S, some P M0, some S P
no S M0, all M0 P, all S P
no S M0, all M0 P, some-not S P
no S M0, all M0 P, no S P
no S M0, all M0 P, some S P
no S M0, all P M0, all S P
no S M0, all P M0, some-not S P
no S M0, all P M0, no S P
no S M0, all P M0, some S P
no M0 S, all M0 P, all S P
no M0 S, all M0 P, some-not S P
no M0 S, all M0 P, no S P
no M0 S, all M0 P, some S P
no M0 S, all P M0, all S P
no M0 S, all P M0, some-not S P
no M0 S, all P M0, no S P
no M0 S, all P M0, some S P
no S M0, some-not M0 P, all S P
no S M0, some-not M0 P, some-not S P
no S M0, some-not M0 P, no S P
no S M0, some-not M0 P, some S P
no S M0, some-not P M0, all S P
no S M0, some-not P M0, some-not S P
no S M0, some-not P M0, no S P
no S M0, some-not P M0, some S P
no M0 S, some-not M0 P, all S P
no M0 S, some-not M0 P, some-not S P
no M0 S, some-not M0 P, no S P
no M0 S, some-not M0 P, some S P
no M0 S, some-not P M0, all S P
no M0 S, some-not P M0, some-not S P
no M0 S, some-not P M0, no S P
no M0 S, some-not P M0, some S P
no S M0, no M0 P, all S P
no S M0, no M0 P, some-not S P
no S M0, no M0 P, no S P
no S M0, no M0 P, some S P
no S M0, no P M0, all S P
no S M0, no P M0, some-not S P
no S M0, no P M0, no S P
no S M0, no P M0, some S P
no M0 S, no M0 P, all S P
no M0 S, no M0 P, some-not S P
no M0 S, no M0 P, no S P
no M0 S, no M0 P, some S P
no M0 S, no P M0, all S P
no M0 S, no P M0, some-not S P
no M0 S, no P M0, no S P
no M0 S, no P M0, some S P
no S M0, some M0 P, all S P
no S M0, some M0 P, some-not S P
no S M0, some M0 P, no S P
no S M0, some M0 P, some S P
no S M0, some P M0, all S P
no S M0, some P M0, some-not S P
no S M0, some P M0, no S P
no S M0, some P M0, some S P
no M0 S, some M0 P, all S P
no M0 S, some M0 P, some-not S P
no M0 S, some M0 P, no S P
no M0 S, some M0 P, some S P
no M0 S, some P M0, all S P
no M0 S, some P M0, some-not S P
no M0 S, some P M0, no S P
no M0 S, some P M0, some S P
some S M0, all M0 P, all S P
some S M0, all M0 P, some-not S P
some S M0, all M0 P, no S P
some S M0, all M0 P, some S P
some S M0, all P M0, all S P
some S M0, all P M0, some-not S P
some S M0, all P M0, no S P
some S M0, all P M0, some S P
some M0 S, all M0 P, all S P
some M0 S, all M0 P, some-not S P
some M0 S, all M0 P, no S P
some M0 S, all M0 P, some S P
some M0 S, all P M0, all S P
some M0 S, all P M0, some-not S P
some M0 S, all P M0, no S P
some M0 S, all P M0, some S P
some S M0, some-not M0 P, all S P
some S M0, some-not M0 P, some-not S P
some S M0, some-not M0 P, no S P
some S M0, some-not M0 P, some S P
some S M0, some-not P M0, all S P
some S M0, some-not P M0, some-not S P
some S M0, some-not P M0, no S P
some S M0, some-not P M0, some S P
some M0 S, some-not M0 P, all S P
some M0 S, some-not M0 P, some-not S P
some M0 S, some-not M0 P, no S P
some M0 S, some-not M0 P, some S P
some M0 S, some-not P M0, all S P
some M0 S, some-not P M0, some-not S P
some M0 S, some-not P M0, no S P
some M0 S, some-not P M0, some S P
some S M0, no M0 P, all S P
some S M0, no M0 P, some-not S P
some S M0, no M0 P, no S P
some S M0, no M0 P, some S P
some S M0, no P M0, all S P
some S M0, no P M0, some-not S P
some S M0, no P M0, no S P
some S M0, no P M0, some S P
some M0 S, no M0 P, all S P
some M0 S, no M0 P, some-not S P
some M0 S, no M0 P, no S P
some M0 S, no M0 P, some S P
some M0 S, no P M0, all S P
some M0 S, no P M0, some-not S P
some M0 S, no P M0, no S P
some M0 S, no P M0, some S P
some S M0, some M0 P, all S P
some S M0, some M0 P, some-not S P
some S M0, some M0 P, no S P
some S M0, some M0 P, some S P
some S M0, some P M0, all S P
some S M0, some P M0, some-not S P
some S M0, some P M0, no S P
some S M0, some P M0, some S P
some M0 S, some M0 P, all S P
some M0 S, some M0 P, some-not S P
some M0 S, some M0 P, no S P
some M0 S, some M0 P, some S P
some M0 S, some P M0, all S P
some M0 S, some P M0, some-not S P
some M0 S, some P M0, no S P
some M0 S, some P M0, some S P
