all capital city, all city spatial_region, all capital spatial_region
no camping_place city, all harbour_city city, no camping_place harbour_city
no camping_place city, all harbour_city city, some camping_place harbour_city
no city zoo, all city spatial_region, all zoo spatial_region
no city zoo, all city spatial_region, some-not zoo spatial_region
no city zoo, all city spatial_region, no zoo spatial_region
no city zoo, all city spatial_region, some zoo spatial_region
no city zoo, all harbour_city city, all zoo harbour_city
no city zoo, all harbour_city city, some-not zoo harbour_city
no city zoo, all harbour_city city, no zoo harbour_city
no city zoo, all harbour_city city, some zoo harbour_city
no camping_place city, some-not city harbours, all camping_place harbours
no camping_place city, some-not city harbours, some-not camping_place harbours
no camping_place city, some-not city harbours, no camping_place harbours
no camping_place city, some-not city harbours, some camping_place harbours
no camping_place city, some-not spatial_region city, all camping_place spatial_region
no camping_place city, some-not spatial_region city, some-not camping_place spatial_region
no camping_place city, some-not spatial_region city, no camping_place spatial_region
no camping_place city, some-not spatial_region city, some camping_place spatial_region
no city zoo, some-not city harbours, all zoo harbours
no city zoo, some-not city harbours, some-not zoo harbours
no city zoo, some-not city harbours, no zoo harbours
no city zoo, some-not city harbours, some zoo harbours
no city zoo, some-not spatial_region city, all zoo spatial_region
no city zoo, some-not spatial_region city, some-not zoo spatial_region
no city zoo, some-not spatial_region city, no zoo spatial_region
no city zoo, some-not spatial_region city, some zoo spatial_region
no camping_place city, no city zoo, all camping_place zoo
no camping_place city, no city zoo, some-not camping_place zoo
no camping_place city, no city zoo, no camping_place zoo
no camping_place city, no city zoo, some camping_place zoo
no camping_place city, no ship city, all camping_place ship
no camping_place city, no ship city, some-not camping_place ship
no camping_place city, no ship city, no camping_place ship
no camping_place city, no ship city, some camping_place ship
no city zoo, no city camping_place, all zoo camping_place
no city zoo, no city camping_place, some-not zoo camping_place
no city zoo, no city camping_place, no zoo camping_place
no city zoo, no city camping_place, some zoo camping_place
no city zoo, no ship city, all zoo ship
no city zoo, no ship city, some-not zoo ship
no city zoo, no ship city, no zoo ship
no city zoo, no ship city, some zoo ship
no camping_place city, some city harbours, all camping_place harbours
no camping_place city, some city harbours, some-not camping_place harbours
no camping_place city, some city harbours, no camping_place harbours
no camping_place city, some city harbours, some camping_place harbours
no camping_place city, some universities city, all camping_place universities
no camping_place city, some universities city, some-not camping_place universities
no camping_place city, some universities city, no camping_place universities
no camping_place city, some universities city, some camping_place universities
no city zoo, some city harbours, all zoo harbours
no city zoo, some city harbours, some-not zoo harbours
no city zoo, some city harbours, no zoo harbours
no city zoo, some city harbours, some zoo harbours
no city zoo, some universities city, all zoo universities
no city zoo, some universities city, some-not zoo universities
no city zoo, some universities city, no zoo universities
no city zoo, some universities city, some zoo universities
some capital city, all city spatial_region, all capital spatial_region
some capital city, all city spatial_region, some-not capital spatial_region
some capital city, all city spatial_region, no capital spatial_region
some capital city, all city spatial_region, some capital spatial_region
some capital city, all harbour_city city, all capital harbour_city
some capital city, all harbour_city city, some-not capital harbour_city
some capital city, all harbour_city city, no capital harbour_city
some capital city, all harbour_city city, some capital harbour_city
some city capital, all city spatial_region, all capital spatial_region
some city capital, all city spatial_region, some-not capital spatial_region
some city capital, all city spatial_region, no capital spatial_region
some city capital, all city spatial_region, some capital spatial_region
some city capital, all harbour_city city, all capital harbour_city
some city capital, all harbour_city city, some-not capital harbour_city
some city capital, all harbour_city city, no capital harbour_city
some city capital, all harbour_city city, some capital harbour_city
some capital city, some-not city harbours, all capital harbours
some capital city, some-not city harbours, some-not capital harbours
some capital city, some-not city harbours, no capital harbours
some capital city, some-not city harbours, some capital harbours
some capital city, some-not spatial_region city, all capital spatial_region
some capital city, some-not spatial_region city, some-not capital spatial_region
some capital city, some-not spatial_region city, no capital spatial_region
some capital city, some-not spatial_region city, some capital spatial_region
some city capital, some-not city harbours, all capital harbours
some city capital, some-not city harbours, some-not capital harbours
some city capital, some-not city harbours, no capital harbours
some city capital, some-not city harbours, some capital harbours
some city capital, some-not spatial_region city, all capital spatial_region
some city capital, some-not spatial_region city, some-not capital spatial_region
some city capital, some-not spatial_region city, no capital spatial_region
some city capital, some-not spatial_region city, some capital spatial_region
some capital city, no city camping_place, all capital camping_place
some capital city, no city camping_place, some-not capital camping_place
some capital city, no city camping_place, no capital camping_place
some capital city, no city camping_place, some capital camping_place
some capital city, no ship city, all capital ship
some capital city, no ship city, some-not capital ship
some capital city, no ship city, no capital ship
some capital city, no ship city, some capital ship
some city capital, no city camping_place, all capital camping_place
some city capital, no city camping_place, some-not capital camping_place
some city capital, no city camping_place, no capital camping_place
some city capital, no city camping_place, some capital camping_place
some city capital, no ship city, all capital ship
some city capital, no ship city, some-not capital ship
some city capital, no ship city, no capital ship
some city capital, no ship city, some capital ship
some capital city, some city harbours, all capital harbours
some capital city, some city harbours, some-not capital harbours
some capital city, some city harbours, no capital harbours
some capital city, some city harbours, some capital harbours
some capital city, some universities city, all capital universities
some capital city, some universities city, some-not capital universities
some capital city, some universities city, no capital universities
some capital city, some universities city, some capital universities
some city capital, some city harbours, all capital harbours
some city capital, some city harbours, some-not capital harbours
some city capital, some city harbours, no capital harbours
some city capital, some city harbours, some capital harbours
some city capital, some universities city, all capital universities
some city capital, some universities city, some-not capital universities
some city capital, some universities city, no capital universities
some city capital, some universities city, some capital universities
